id,customer_id,type,nominal,balance,description,created_at,updated_at,unique_id,tgl_transaksi,kode_transaksi,type_transaksi,kategori_transaksi
54480199,4692,+,100140,3383638,#260508 Deposit Saldo Rp 100.140 Melalui Bank Mandiri By Sistem,2023-09-07T15:46:32.000+08:00,2023-09-07T15:46:32.000+08:00,,07/09/2023,,,Deposit
54480168,50,+,2000405,2001430,#260507 Deposit Saldo Rp 2.000.405 Melalui Bank BNI By Sistem,2023-09-07T15:40:41.000+08:00,2023-09-07T15:40:41.000+08:00,,07/09/2023,,,Deposit
54480151,28511,+,100436,133554,#260506 Deposit Saldo Rp 100.436 Melalui Bank BCA By Sistem,2023-09-07T15:38:08.000+08:00,2023-09-07T15:38:08.000+08:00,,07/09/2023,,,Deposit
54480032,5595,+,1000733,1013998,#260505 Deposit Saldo Rp 1.000.733 Melalui Bank Mandiri By Sistem,2023-09-07T15:17:45.000+08:00,2023-09-07T15:17:45.000+08:00,,07/09/2023,,,Deposit
54480021,2558,+,500565,1145224,#260504 Deposit Saldo Rp 500.565 Melalui Bank Mandiri By Sistem,2023-09-07T15:15:07.000+08:00,2023-09-07T15:15:07.000+08:00,,07/09/2023,,,Deposit
54480003,24980,+,150262,437434,#260503 Deposit Saldo Rp 150.262 Melalui Bank Mandiri By Sistem,2023-09-07T15:12:34.000+08:00,2023-09-07T15:12:34.000+08:00,,07/09/2023,,,Deposit
54479974,4498,+,300703,352646,#260502 Deposit Saldo Rp 300.703 Melalui Bank BRI By Sistem,2023-09-07T15:04:12.000+08:00,2023-09-07T15:04:12.000+08:00,,07/09/2023,,,Deposit
54479955,2875,+,600947,1339119,#260500 Deposit Saldo Rp 600.947 Melalui Bank BRI By Sistem,2023-09-07T14:59:14.000+08:00,2023-09-07T14:59:14.000+08:00,,07/09/2023,,,Deposit
54479931,3773,+,100000479,188768928,#260499 Deposit Saldo Rp 100.000.479 Melalui Bank BCA By Sistem,2023-09-07T14:53:42.000+08:00,2023-09-07T14:53:42.000+08:00,,07/09/2023,,,Deposit
54479930,5373,+,230533,870637,#260501 Deposit Saldo Rp 230.533 Melalui Bank BCA By Sistem,2023-09-07T14:53:41.000+08:00,2023-09-07T14:53:41.000+08:00,,07/09/2023,,,Deposit
54479912,20103,+,150974,162618,#260498 Deposit Saldo Rp 150.974 Melalui Bank BCA By Sistem,2023-09-07T14:49:53.000+08:00,2023-09-07T14:49:53.000+08:00,,07/09/2023,,,Deposit
54479895,22040,+,150979,430211,#260497 Deposit Saldo Rp 150.979 Melalui Bank BRI By Sistem,2023-09-07T14:44:29.000+08:00,2023-09-07T14:44:29.000+08:00,,07/09/2023,,,Deposit
54479875,6,+,500813,660493,#260496 Deposit Saldo Rp 500.813 Melalui Bank BRI By Sistem,2023-09-07T14:39:31.000+08:00,2023-09-07T14:39:31.000+08:00,,07/09/2023,,,Deposit
54479870,19901,+,5000151,7381527,#260495 Deposit Saldo Rp 5.000.151 Melalui Bank BCA By Sistem,2023-09-07T14:38:53.000+08:00,2023-09-07T14:38:53.000+08:00,,07/09/2023,,,Deposit
54479851,19898,+,100290,775794,#260494 Deposit Saldo Rp 100.290 Melalui Bank BRI By Sistem,2023-09-07T14:34:36.000+08:00,2023-09-07T14:34:36.000+08:00,,07/09/2023,,,Deposit
54479767,4728,+,1000185,1186489,#260493 Deposit Saldo Rp 1.000.185 Melalui Bank BRI By Sistem,2023-09-07T14:19:57.000+08:00,2023-09-07T14:19:57.000+08:00,,07/09/2023,,,Deposit
54479756,3287,+,514858,1644502,#260491 Deposit Saldo Rp 514.858 Melalui Bank BNI By Sistem,2023-09-07T14:16:50.000+08:00,2023-09-07T14:16:50.000+08:00,,07/09/2023,,,Deposit
54479750,2935,+,850483,1310765,#260489 Deposit Saldo Rp 850.483 Melalui Bank BRI By Sistem,2023-09-07T14:15:07.000+08:00,2023-09-07T14:15:07.000+08:00,,07/09/2023,,,Deposit
